image_id,y_true,gender,race,age_group
3817,1,,,
3902,0,,,
3907,1,Female,Asian,20-29
3985,1,,,
3997,0,,,
4082,0,,,
4090,0,,,
4153,0,,,
4161,0,,,
4240,0,,,
4250,0,,,
4352,0,,,
4360,1,Male,W,20-29
4467,0,,,
4473,0,,,
4520,0,,,
4525,0,,,
4527,0,,,
4529,0,,,
4569,0,,,
4574,0,,,
4576,0,,,
4649,0,,,
4652,0,,,
4658,0,,,
4740,1,Female,Black,20-29
4742,1,Female,Black,20-29
4872,0,,,
4969,0,,,
4975,0,,,
5040,0,,,
5106,0,,,
5110,0,,,
5174,1,Female,Asian,20-29
5209,0,,,
5351,1,,,
5371,0,,,
5462,1,,,
5653,1,,,
5867,1,,,
5895,0,,,
6030,0,,,
6141,0,,,
6320,0,,,
6374,1,Female,Asian,20-29
6641,1,,,
6647,0,,,
6653,0,,,
6823,1,Female,White,20-29
6891,1,,,
6911,1,,,
6920,1,,,
6997,0,,,
7002,0,,,
7065,1,,,
7069,1,Male,Asian,20-29
7178,1,,,
7185,0,,,
7300,0,,,
7371,0,,,
7444,1,,,
7524,1,Female,Asian,20-29
7628,0,,,
7705,1,,,
7714,0,,,
7808,0,,,
7816,0,,,
7884,0,,,
7891,0,,,
7964,1,,,
7972,1,,,
8060,0,,,
8069,0,,,
8145,1,,,
8354,1,,,
8361,0,,,
8447,0,,,
8457,1,Male,Asian,20-29
8550,0,,,
8556,0,,,
8642,0,,,
8702,0,,,
8815,0,,,
8851,0,,,
8921,0,,,
8931,0,,,
9053,0,,,
9174,0,,,
9181,1,,,
9277,1,Female,Asian,3-9
9284,0,,,
9379,0,,,
9527,0,,,
9667,0,,,
9677,0,,,
9778,0,,,
9785,1,Male,White,20-29
9934,1,,,
9944,0,,,
10063,0,,,
10073,0,,,
10181,0,,,
10188,0,,,
10380,1,Female,Asian,20-29
10390,1,Female,Asian,20-29
10479,0,,,
10486,0,,,
10582,0,,,
10591,0,,,
10659,0,,,
10706,1,,,
10760,1,Female,Asian,20-29
10769,0,,,
10853,0,,,
10866,0,,,
10954,1,,,
10960,1,,,
10966,1,,,
11066,1,,,
11078,1,,,
11145,1,Male,Asian,20-29
11202,1,Female,Asian,10-19
11253,1,,,
11314,1,,,
11371,1,,,
11467,0,,,
11475,0,,,
11540,0,,,
11644,1,,,
11652,1,Female,Asian,20-29
11721,0,,,
11727,1,,,
11794,1,,,
11802,0,,,
11803,1,,,
11828,1,Female,Asian,20-29
11865,1,Female,Asian,20-29
11874,1,,,
11930,0,,,
11934,0,,,
12031,0,,,
12102,1,Female,Asian,10-19
12146,1,,,
12200,1,Female,Asian,20-29
12210,1,Female,Asian,20-29
12274,0,,,
12282,1,,,
12352,0,,,
12359,0,,,
12411,0,,,
12418,0,,,
12503,0,,,
12597,0,,,
12672,0,,,
12878,1,Female,Asian,20-29
12885,0,,,
12920,0,,,
12930,0,,,
13018,1,,,
13025,1,,,
13067,1,Male,Asian,20-29
13068,1,Male,Asian,20-29
13075,0,,,
13215,1,,,
13404,0,,,
13406,0,,,
13570,1,Male,White,30-39
13580,0,,,
13710,1,,,
13773,0,,,
13836,1,,,
13843,0,,,
13989,0,,,
14086,0,,,
14089,1,,,
14267,0,,,
14383,0,,,
14517,1,,,
14622,0,,,
14627,0,,,
14752,1,,,
14756,1,,,
14826,0,,,
14834,1,Male,Asian,20-29
14926,1,Female,Asian,20-29
14934,1,Female,Asian,20-29
15015,1,Male,White,20-29
15024,1,Male,White,20-29
15087,0,,,
15094,1,,,
15225,0,,,
15234,0,,,
15296,0,,,
15303,1,Female,Asian,20-29
15392,0,,,
15403,0,,,
15456,0,,,
15464,0,,,
15499,1,,,
15508,0,,,
15571,1,,,
15643,0,,,
15718,0,,,
15776,0,,,
15786,0,,,
15885,1,,,
15889,1,,,
15958,0,,,
15963,0,,,
15964,0,,,
16065,0,,,
16076,0,,,
16201,1,Female,Asian,20-29
16281,1,Female,Asian,20-29
16344,1,,,
16410,1,,,
16440,0,,,
16448,0,,,
16518,0,,,
16527,0,,,
16616,1,Female,Asian,20-29
16620,1,Female,Asian,20-29
16778,1,Female,Asian,20-29
16788,1,Female,Asian,20-29
16861,0,,,
16871,0,,,
16944,1,,,
16951,0,,,
17051,0,,,
17061,0,,,
17150,0,,,
17157,0,,,
17270,1,,,
17350,1,Female,White,20-29
17440,1,,,
17509,0,,,
17595,0,,,
